community,elder_type,service,elder_count_year5,monthly_times_per_person,theoretical_demand,theoretical_demand_rounded
C,失能,日间照料,149.08398292502164,18.0,2683.5116926503897,2684
C,失能,上门护理,149.08398292502164,12.0,1789.0077951002597,1789
C,失能,康复理疗,149.08398292502164,6.0,894.5038975501299,895
C,失能,助浴,149.08398292502164,4.0,596.3359317000866,596
C,失能,紧急救助,149.08398292502164,3.0,447.25194877506493,447
D,自理,助餐,391.49105615139206,14.0,5480.874786119489,5481
D,自理,日间照料,391.49105615139206,8.0,3131.9284492111365,3132
D,自理,上门护理,391.49105615139206,0.0,0.0,0
D,自理,康复理疗,391.49105615139206,2.0,782.9821123027841,783
D,自理,助浴,391.49105615139206,0.0,0.0,0
D,自理,紧急救助,391.49105615139206,0.15,58.72365842270881,59
D,半失能,助餐,115.3656532172596,20.0,2307.3130643451923,2307
D,半失能,日间照料,115.3656532172596,14.0,1615.1191450416345,1615
D,半失能,上门护理,115.3656532172596,6.0,692.1939193035577,692
D,半失能,康复理疗,115.3656532172596,4.0,461.4626128690384,461
D,半失能,助浴,115.3656532172596,2.0,230.7313064345192,231
D,半失能,紧急救助,115.3656532172596,1.0,115.3656532172596,115
D,失能,助餐,93.76324757214805,22.0,2062.791446587257,2063
D,失能,日间照料,93.76324757214805,18.0,1687.738456298665,1688
D,失能,上门护理,93.76324757214805,12.0,1125.1589708657766,1125
D,失能,康复理疗,93.76324757214805,6.0,562.5794854328883,563
D,失能,助浴,93.76324757214805,4.0,375.0529902885922,375
D,失能,紧急救助,93.76324757214805,3.0,281.28974271644415,281
E,自理,助餐,567.6787192100539,14.0,7947.502068940756,7948
E,自理,日间照料,567.6787192100539,8.0,4541.4297536804315,4541
E,自理,上门护理,567.6787192100539,0.0,0.0,0
E,自理,康复理疗,567.6787192100539,2.0,1135.3574384201079,1135
E,自理,助浴,567.6787192100539,0.0,0.0,0
E,自理,紧急救助,567.6787192100539,0.15,85.15180788150809,85
E,半失能,助餐,168.38872731186478,20.0,3367.774546237296,3368
E,半失能,日间照料,168.38872731186478,14.0,2357.442182366107,2357
E,半失能,上门护理,168.38872731186478,6.0,1010.3323638711887,1010
E,半失能,康复理疗,168.38872731186478,4.0,673.5549092474591,674
E,半失能,助浴,168.38872731186478,2.0,336.77745462372957,337
E,半失能,紧急救助,168.38872731186478,1.0,168.38872731186478,168
E,失能,助餐,129.53190318688098,22.0,2849.7018701113816,2850
E,失能,日间照料,129.53190318688098,18.0,2331.5742573638577,2332
E,失能,上门护理,129.53190318688098,12.0,1554.3828382425718,1554
E,失能,康复理疗,129.53190318688098,6.0,777.1914191212859,777
E,失能,助浴,129.53190318688098,4.0,518.1276127475239,518
E,失能,紧急救助,129.53190318688098,3.0,388.59570956064294,389
F,自理,助餐,345.02722024382297,14.0,4830.381083413522,4830
F,自理,日间照料,345.02722024382297,8.0,2760.2177619505837,2760
F,自理,上门护理,345.02722024382297,0.0,0.0,0
F,自理,康复理疗,345.02722024382297,2.0,690.0544404876459,690
F,自理,助浴,345.02722024382297,0.0,0.0,0
F,自理,紧急救助,345.02722024382297,0.15,51.75408303657344,52
F,半失能,助餐,101.166567996128,20.0,2023.3313599225598,2023
F,半失能,日间照料,101.166567996128,14.0,1416.3319519457918,1416
F,半失能,上门护理,101.166567996128,6.0,606.999407976768,607
F,半失能,康复理疗,101.166567996128,4.0,404.666271984512,405
F,半失能,助浴,101.166567996128,2.0,202.333135992256,202
F,半失能,紧急救助,101.166567996128,1.0,101.166567996128,101
F,失能,助餐,74.93235087044887,22.0,1648.5117191498753,1649
F,失能,日间照料,74.93235087044887,18.0,1348.7823156680797,1349
F,失能,上门护理,74.93235087044887,12.0,899.1882104453864,899
F,失能,康复理疗,74.93235087044887,6.0,449.5941052226932,450
F,失能,助浴,74.93235087044887,4.0,299.7294034817955,300
F,失能,紧急救助,74.93235087044887,3.0,224.7970526113466,225
G,自理,助餐,626.407940229608,14.0,8769.711163214512,8770
G,自理,日间照料,626.407940229608,8.0,5011.263521836864,5011
G,自理,上门护理,626.407940229608,0.0,0.0,0
G,自理,康复理疗,626.407940229608,2.0,1252.815880459216,1253
G,自理,助浴,626.407940229608,0.0,0.0,0
G,自理,紧急救助,626.407940229608,0.15,93.9611910344412,94
G,半失能,助餐,184.8446589279748,20.0,3696.893178559496,3697
G,半失能,日间照料,184.8446589279748,14.0,2587.8252249916472,2588
G,半失能,上门护理,184.8446589279748,6.0,1109.0679535678487,1109
G,半失能,康复理疗,184.8446589279748,4.0,739.3786357118992,739
G,半失能,助浴,184.8446589279748,2.0,369.6893178559496,370
G,半失能,紧急救助,184.8446589279748,1.0,184.8446589279748,185
G,失能,助餐,142.67321480721697,22.0,3138.810725758773,3139
G,失能,日间照料,142.67321480721697,18.0,2568.1178665299053,2568
G,失能,上门护理,142.67321480721697,12.0,1712.0785776866037,1712
G,失能,康复理疗,142.67321480721697,6.0,856.0392888433018,856
G,失能,助浴,142.67321480721697,4.0,570.6928592288679,571
G,失能,紧急救助,142.67321480721697,3.0,428.0196444216509,428
H,自理,助餐,413.5353737718941,14.0,5789.495232806517,5789
H,自理,日间照料,413.5353737718941,8.0,3308.282990175153,3308
H,自理,上门护理,413.5353737718941,0.0,0.0,0
H,自理,康复理疗,413.5353737718941,2.0,827.0707475437882,827
H,自理,助浴,413.5353737718941,0.0,0.0,0
H,自理,紧急救助,413.5353737718941,0.15,62.03030606578412,62
H,半失能,助餐,122.69383530395658,20.0,2453.8767060791315,2454
H,半失能,日间照料,122.69383530395658,14.0,1717.713694255392,1718
H,半失能,上门护理,122.69383530395658,6.0,736.1630118237395,736
H,半失能,康复理疗,122.69383530395658,4.0,490.7753412158263,491
H,半失能,助浴,122.69383530395658,2.0,245.38767060791315,245
H,半失能,紧急救助,122.69383530395658,1.0,122.69383530395658,123
H,失能,助餐,90.88868714174913,22.0,1999.5511171184808,2000
H,失能,日间照料,90.88868714174913,18.0,1635.9963685514845,1636
H,失能,上门护理,90.88868714174913,12.0,1090.6642457009896,1091
H,失能,康复理疗,90.88868714174913,6.0,545.3321228504948,545
H,失能,助浴,90.88868714174913,4.0,363.5547485669965,364
H,失能,紧急救助,90.88868714174913,3.0,272.6660614252474,273
I,自理,助餐,533.4246424460184,14.0,7467.944994244258,7468
I,自理,日间照料,533.4246424460184,8.0,4267.397139568147,4267
I,自理,上门护理,533.4246424460184,0.0,0.0,0
I,自理,康复理疗,533.4246424460184,2.0,1066.8492848920368,1067
I,自理,助浴,533.4246424460184,0.0,0.0,0
I,自理,紧急救助,533.4246424460184,0.15,80.01369636690276,80
I,半失能,助餐,159.45273328108794,20.0,3189.054665621759,3189
I,半失能,日间照料,159.45273328108794,14.0,2232.338265935231,2232
I,半失能,上门护理,159.45273328108794,6.0,956.7163996865277,957
I,半失能,康复理疗,159.45273328108794,4.0,637.8109331243518,638
I,半失能,助浴,159.45273328108794,2.0,318.9054665621759,319
I,半失能,紧急救助,159.45273328108794,1.0,159.45273328108794,159
I,失能,助餐,119.72609542809336,22.0,2633.974099418054,2634
I,失能,日间照料,119.72609542809336,18.0,2155.0697177056804,2155
I,失能,上门护理,119.72609542809336,12.0,1436.7131451371204,1437
I,失能,康复理疗,119.72609542809336,6.0,718.3565725685602,718
I,失能,助浴,119.72609542809336,4.0,478.90438171237344,479
I,失能,紧急救助,119.72609542809336,3.0,359.1782862842801,359
J,自理,助餐,479.6127006649486,14.0,6714.57780930928,6715
J,自理,日间照料,479.6127006649486,8.0,3836.9016053195887,3837
J,自理,上门护理,479.6127006649486,0.0,0.0,0
J,自理,康复理疗,479.6127006649486,2.0,959.2254013298972,959
J,自理,助浴,479.6127006649486,0.0,0.0,0
J,自理,紧急救助,479.6127006649486,0.15,71.94190509974229,72
J,半失能,助餐,140.374067866874,20.0,2807.4813573374795,2807
J,半失能,日间照料,140.374067866874,14.0,1965.236950136236,1965
J,半失能,上门护理,140.374067866874,6.0,842.2444072012439,842
J,半失能,康复理疗,140.374067866874,4.0,561.496271467496,561
J,半失能,助浴,140.374067866874,2.0,280.748135733748,281
J,半失能,紧急救助,140.374067866874,1.0,140.374067866874,140
J,失能,助餐,104.29023836737713,22.0,2294.3852440822966,2294
J,失能,日间照料,104.29023836737713,18.0,1877.2242906127883,1877
J,失能,上门护理,104.29023836737713,12.0,1251.4828604085255,1251
J,失能,康复理疗,104.29023836737713,6.0,625.7414302042628,626
J,失能,助浴,104.29023836737713,4.0,417.1609534695085,417
J,失能,紧急救助,104.29023836737713,3.0,312.8707151021314,313
