community,elder_type,service,actual_demand,effective_service
J,半失能,助餐,2732.3419536131187,2295.0690000223503
J,半失能,日间照料,1912.6393675291836,1606.5483000156455
J,半失能,上门护理,819.7025860839357,688.520700006705
J,半失能,康复理疗,546.4683907226238,459.01380000447
J,半失能,助浴,273.2341953613119,229.506900002235
J,半失能,紧急救助,140.374067866874,117.90916987614825
J,失能,助餐,1823.3525118534808,1531.5505515457662
J,失能,日间照料,1491.8338733346664,1253.0868149010817
J,失能,上门护理,994.5559155564442,835.3912099340545
J,失能,康复理疗,497.2779577782221,417.69560496702724
J,失能,助浴,331.5186385188147,278.4637366446848
J,失能,紧急救助,312.8707151021314,262.8001514584213
